título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;collection
"""Agbalá - Um lugar- Continente""";;Marilda Castanha;Marilda Castanha;Continente africano, Diáspora, Quilombo  ;Agbalá é uma palavra da língua iorubá que significa o pedaço da África plantado dentro de cada negro que veio para o Brasil durante a escravidão. Neste volume, Marilda Castanha lança um novo olhar sobre a trajetória desses povos e convida o leitor a adentrar a cultura iorubá, que  tanto influenciou a formação da identidade do nosso país. As ilustrações em tons vibrantes, baseiam-se em pinturas, esculturas e objetos de artistas afro-brasileiros.;Série 500 Brasis;Formato;1ª;2001;Físico;857208312X;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/36350?guid=1711563721043&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711563721043%26quantidadePaginas%3d1%26codigoRegistro%3d36350%2336350&i=2;pt-BR;;infantojuvenil;39;;CASTANHA, Marilda. Agbalá um lugar continente. Belo Horizonte: Formato, 2001;https://m.media-amazon.com/images/I/71SCXX8VWZL._SL1000_.jpg;africana
"""Histórias africanas para contar e recontar""";;Rogério  Andrade Barbosa;Graça Lima;Contos africanos, Fábulas;"São histórias para ler, contar, se divertir e conhecer um pouco 
dos costumes africanos, dos quais os animais fazem parte do imaginário popular.";;Brasil;1ª;2001;Físico;9788510041751;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/173419?guid=1711564136251&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711564136251%26quantidadePaginas%3d1%26codigoRegistro%3d173419%23173419&i=1;pt-BR;;infantojuvenil;48;;BARBOSA, Rogério Andrade.Histórias para contar e recontar. São Paulo: Brasil, 2001.;https://m.media-amazon.com/images/I/91LXsuocHeS._SY425_.jpg;africana
"""Bichos da África 2: lendas e fábulas""";;Rogério  Andrade Barbosa;Ciça Fittipaldi;Contos africanos, Fábulas;O livro conta três histórias sobre respeito e o valor da família: a primeira é sobre uma moça que é enganada e se casa com uma serpente, a segunda explica como uma briga entre os deuses do mar e da terra fez com que os hipopótamos fossem viver na água, já a terceira conta como o pássaro cassolo e as abelhas viraram inimigos;;Brasil ;;2003;Físico;;;pt-BR;;infantojuvenil;16;;BARBOSA, Rogério Andrade. Bichos da África 2: lendas e fábula. São Paulo: Melhoramentos, 2003. ;https://m.media-amazon.com/images/I/61hInOocn3L._SY445_SX342_.jpg;africana
""" O espelho dourado""";;Heloísa Pires Lima;Taisa Borges;Rio Niger, Reino Medieval, Gana;A história passa-se por volta do ano 700 d.C. no reino medieval de Gana, território localizado na curva do rio Niger, e remete à crença achanti de que os mortos habitam um mundo que é a imagem espelhada do mundo dos vivos. Os dois mundos encontram-se nos sonhos. Desse cenário surge Nyame, divindade cujo corpo de fogo provocou o nascimento do universo e que lembra o período de abundância da etnia achanti.;Série o pescador de histórias;Peirópolis;1ª;2003;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/122919?guid=1711564441336&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711564441336%26quantidadePaginas%3d1%26codigoRegistro%3d122919%23122919&i=8;pt-BR;;infantojuvenil;32;;LIMA, Heloisa Pires. Espelho Dourado.São Paulo: Peirópolis, 2003.;https://acervo.bn.gov.br/sophia_web/capa/capa/122919;africana
"""Contos africanos para crianças brasileiras"" ";;Rogério  Andrade Barbosa;Mauricio Veneza; Contos africanos, Fábulas;"Fala de dois contos de animais da literatura tradicional do continente africano: a luta entre o gato e o rato e o motivo de os jabutis terem os cascos rachados
";Prêmios: Academia Brasileira de Letras - Prêmio Literatura Inafanto-Juvenil (2004) Altamente Recomendável pela FNLIJ - Categoria Reconto (2004). Indicado para os anos iniciais do Ensino Fundamental 3º ano e 4º ano;Paulinas;1ª;2004;Físico;8535612599;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/108790?guid=1711564757336&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711564757336%26quantidadePaginas%3d1%26codigoRegistro%3d108790%23108790&i=3;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério de Andrade. Contos Áfricanos para crianças brasileiras. ão Paulo: Paulinas, 2004.;https://m.media-amazon.com/images/I/81NvmrYEkzL._SL1500_.jpg;africana
"""Gosto da África: histórias de lá e daqui""";;Joel Rufino dos Santos; Claudia Scatamacchia;Cultura negra e popular, Mitos,  Tradições, Lendas, Luísa Mahim;"Nesta obra, o autor recupera lendas, mitos e tradições da cultura africana 
e os transforma em sete histórias: “As pérolas de Cadija”, “O filho de Luísa”, “A sagrada família”,
 “O leão de Mali”, “Bonsucesso dos pretos” , “Bumba meu boi” e “A casa da flor""";Acervo Básico para a  Criança 1999(FNLIJ);Global ;1ª;2005;Físico;;https://grupoeditorialglobal.com.br/catalogos/livro/?id=2058;pt-BR;;infantojuvenil;48;;SANTOS, Joel Rufino. Gosto da África: histórias de lá e daqui. São Paulo: Global, 2006.;https://grupoeditorialglobal.com.br/capas/400/2058.jpg;africana
""" Os Sete Novelos:Um conto de Kwanzaa""";;Angela Shelf Medearis;Daniel Minter ;Culturas africanas, Povo Axânti, Kwanzaa;"O livro fala da tradição do feriado de Kwanzaa, comemorado por afro-descentes das Américas, e cria um conto sobre como os membros de uma família podem unir-se em benefício de toda a comunidade. Sete irmãos da tribo Axânti, que não conseguiam se entender nunca, recebem um testamento curioso do pai: até o pôr do sol daquele dia, os irmãos teriam de aprender a fazer ouro com sete novelos de fios coloridos. 
";Prêmios e seleções: PNLD - SP - 2006. PNLD - SP - 2006.;Cosac & Naify;1ª;2005;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/140941?guid=1711565534967&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565534967%26quantidadePaginas%3d1%26codigoRegistro%3d140941%23140941&i=1;pt-BR;;infantojuvenil;40;;MADEARES, Angela Sheef. Os sete Novelo:um conto de kwanzaa. São Paulo: Cosac Naify, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/140941;africana
"""Chuva de Manga""";;"James Rumford
";James Rumford;Culturas africanas,Chade, Infância;O Chade é um país que fica lá longe, no centro do continente africano. Por meio do dia a dia do menino Tomás, os leitores poderão imaginar o que é esperar pela chuva, fazer um carrinho de lata e apreciar os frutos da terra generosa, que nos oferece a alegria de saborear e cheirar uma manga dourada.;"Ganhador do selo Altamente Recomendável FNLIJ    Material de apoio ao professor: http://media.brinquebook.com.br/blfa_files/Chuva_de_manga.pdf
";Brinque-Book;1ª;2005;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/182832?guid=1711565742264&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565742264%26quantidadePaginas%3d1%26codigoRegistro%3d182832%23182832&i=3;pt-BR;;infantojuvenil;32;;RUNFORD, James. Chuva de Manga.São Paulo: Brinque-Book, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/182832;africana
"""A semente que veio da África""";;Heloísa Pires Lima, Georges Gneka, Mario Lemos  ;Veronique  Tadjo ;Árvore da palavra,Baobá,Adansônia, Embondeiro;"História que fala da lenda da origem do baobá, árvore que chega a medir até 45m de largura e 3m de altura e pode viver 
mais de seis mil anos. Georges Gneka, de Moçambique, apresenta a lenda do seu país e comenta sobre a influência desse traço 
da cultura africana em sua obra. Mário Lemos fala da relação intrínseca da árvore com as tradições culturais do país, principalmente na Costa do Marfim, onde a árvore ganha o nome de Embondeiro."; PNBE Incluído em 2005. Encarte da editora com instruções para o jogo awalé.;Salamandra;1ª;2005;Físico;8516043487;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186475?guid=1711565893906&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565893906%26quantidadePaginas%3d1%26codigoRegistro%3d186475%23186475&i=1;pt-BR;;infantojuvenil;56;;LIMA, Heloisa Pires, LEMOS, Mario, GNEKA,Georges.  A semente que veio da África. São Paulo: Salamandra, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/186475;africana
"""As tranças de Bintou""";;Silviane Anna Diouf ;Shane W. Evans;Culturas africanas, Infância,Juventude;Bintou é uma garotinha que tem dois sonhos: que os passarinhos façam ninhos em sua cabeça e que seus quatro coques sejam transformados em tranças com conchinhas e pedras coloridas.  Na sua comunidade, apenas as moças e mulheres podem usar tranças – que expressam a beleza do feminino.;;Cosac & Naify;2ª;2006;Físico;857503300X;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/189732?guid=1711566097581&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711566097581%26quantidadePaginas%3d1%26codigoRegistro%3d189732%23189732&i=6;pt-BR;;infantojuvenil;32;;DIOUF, Silviane Ana. As Tranças de Bintou. São Paulo:  Cosac Naify, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/189732;africana
