título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção
"""O presente de Ossanha""";;Joel Rufino dos Santos;Maurício Veneza;Culturas afro-brasileiras, Escravidão, Orixás;" ""Uma história que se passou há mais de cem anos, em um engenho de açúcar, sobre um negrinho escravo. Tinham esquecido o seu nome. Só o chamavam de moleque. Moleque pra cá, moleque pra lá – e tudo o que lhe aconteceu depois de receber um presente do orixá das florestas, Ossanha – filho do criador Olorum, e irmão de Xangô e de Iansã. Partindo da escravidão, Joel Rufino dos Santos fala-nos da liberdade""";;Global;2ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/197078?guid=1716211461111&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211461111%26quantidadePaginas%3d1%26codigoRegistro%3d197078%23197078&i=1;pt-BR;;infantojuvenil;14;;SANTOS, Joel Rufino dos. O presente de Ossanha. São Paulo: Global, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/197078;Afro-brasileira
"""Mata: Contos do Folclore Brasileiro""";;Heloísa Prieto;Guilherme Vianna;Culturas afro-brasileiras, tradição, ancestralidade;"Falante e atrevida, dona Mariana Encantada é uma das personagens mais interessantes da tradição da Encantaria, que teve origem no Pará e no Maranhão. Segundo essa tradição, os encantados são espíritos de pessoas que, em vez de morrer, se ""encantaram"", passando a existir no mundo invisível. Quando querem ajudar os vivos, entram na cabeça de uma pessoa de bom coração e transmitem seus conhecimentos por meio de histórias.";Altamente Recomendável pela Fundação Nacional do Livro Infantil e Juvenil - FNLIJ 2000, categoria informativo;Cia das Letrinhas;1ª;2000;Físico;;https://www.companhiadasletras.com.br/livro/9788574060743/mata;pt-BR;;infantojuvenil;64;;PRIETO,Heloísa. Mata:Contos do Folclore Brasileiro. São Paulo: Editora Cia das Letrinhas, 2000.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788574060743/mata.jpg;Afro-brasileira
"""Bruna e a  Galinha D’angola""";;Gercilga de Almeida;Valéria Saraiva;Culturas afro-brasileiras, mitos iorubanos, ancestralidade;Fala da história de Bruna, uma menina que se sentia muito sozinha. Até que sua avó Nanã contou a história de um panõ da galinha que havia trazido da África, que falava da criação do mundo. Um dia Bruna ganhou uma galinha de presente, toda pretinha e cheia de bolinhas brancas.;;Pallas ;1ª;2000;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/261497?guid=1716211538199&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211538199%26quantidadePaginas%3d1%26codigoRegistro%3d261497%23261497&i=1;pt-BR;;infantil;24;;ALMEIDA, de Gercilga. Bruna e a Galinha D'Angola. Rio de Janeiro: Pallas, 2000.;https://acervo.bn.gov.br/sophia_web/capa/capa/261497;Afro-brasileira
“Os príncipes do destino: histórias da mitologia afro-brasileira”;;Reginaldo Prandi;Paulo Monteiro;Culturas afro-brasileiras, orixás, odus, mitologia iorubá;Os príncipes do destino são mitos iorubás, fala das histórias de dezesseis príncipes negros que trabalhavam juntos numa missão da mais alta importância para seu povo: colecionar e contar histórias.;;Cosac Naify;1ª;2001;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/43974?guid=1716211590319&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211590319%26quantidadePaginas%3d1%26codigoRegistro%3d43974%2343974&i=2;pt-BR;;infantojuvenil;112;;PRANDI, Reginaldo. Os príncipes do destino: histórias da mitologia afro-brasileira. São Paulo:  Cosac Naify, 2001.;https://acervo.bn.gov.br/sophia_web/capa/capa/43974;Afro-brasileira
"""Aguemon""";;Carolina Cunha;Carolina Cunha;Culturas afro-brasileiras, Mitologia iorubá, Criação do mundo;É o mito da criação do mundo contado desde os tempos mais antigos pelo povo Iorubá. Aguemon é o mensageiro dos deuses. É quem vem habitar a terra antes mesmo do ser humano. Ele é o saber. E o saber vem do silêncio, pois é observando que se aprende.;;Martins Fontes ;1ª;2002;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/236718?guid=1716211725649&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211725649%26quantidadePaginas%3d1%26codigoRegistro%3d236718%23236718&i=1;pt-BR;;infantojuvenil;56;;CUNHA, Carolina. Aguemon. São Paulo: Editora Martins Fontes, 2002.;https://acervo.bn.gov.br/sophia_web/capa/capa/236718;Afro-brasileira
"""Ifá, o Adivinho""";;Reginaldo Prandi;Pedro Rafael;Culturas afro-brasileiras, Orixás, Mitologia iorubá, Adivinhação;Em tempos antigos, na África negra, um adivinho chamado Ifá jogava seus búzios mágicos e desvendava o destino das pessoas que o consultavam. Acreditava que tudo na vida tinha solução e sempre que lhe traziam um problema, ele se lembrava de alguma história antiga que ensinava para que o problema fosse resolvido.;;Cia das Letrinhas;1ª;2002;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/954709?guid=1716211814934&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211814934%26quantidadePaginas%3d1%26codigoRegistro%3d954709%23954709&i=1;pt-BR;;infantojuvenil;64;;PRANDI, Reginaldo. Ifá, o adivinho. São Paulo: Editora Cia das Letrinhas, 2002.;https://acervo.bn.gov.br/sophia_web/capa/capa/954709;Afro-brasileira
"""Xangô, o Trovão""";;Reginaldo Prandi;Pedro Rafael;Culturas afro-brasileiras, Orixás, Mitologia iorubá;Quando vieram escravizados para o Brasil, os negros africanos trouxeram um conjunto de tradições, costumes, crenças, santos e deuses. O livro fala não somente dos mitos de Xangô, o deus do trovão e um dos deuses do panteão iorubá, mas também de outras divindades.;;Cia das Letrinhas;1ª;2003;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1032704?guid=1716211863471&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211863471%26quantidadePaginas%3d1%26codigoRegistro%3d1032704%231032704&i=1;pt-BR;;infantojuvenil;64;;PRANDI, Reginaldo. Xangô, o Trovão. São Paulo: Editora Cia das Letrinhas, 2003.;https://acervo.bn.gov.br/sophia_web/capa/capa/1032704;Afro-brasileira
"""Oxumarê, o Arco-Íris""";;Reginaldo Prandi;Pedro Rafael;Culturas afro-brasileiras, Orixás, Mitologia iorubá;A beleza de Oxumarê era admirada por todos, que invejavam o luxo de suas roupas coloridas. Um dia a chuva resolveu castigar a Terra, os rios se encheram, as doenças se espalharam e os animais começaram a morrer afogados. Oxumarê, que não tinha muita simpatia pela chuva, cortou o céu com seu punhal de prata e a fez parar. Desde então, toda vez que isso acontece, ele pode ser visto enfeitando o céu, sob a forma de um arco-íris.;;Cia das Letrinhas;1ª;2004;Físico;;https://www.amazon.com.br/Oxumar%C3%AA-arco-%C3%ADris-Reginaldo-Prandi/dp/8574062359/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=PGWI508HIHCN&dib=eyJ2IjoiMSJ9.l2smhLlOHoplqf9A_a5u5JTEM5W5SS1EDQtC3M9XqvZSuVB8Kt29cXDCXZyyolOs2ArDQ8uBcdCmcj7LTU5etV44vHirZeJBiC_4TXB8hlrlLnUEiLLb94Uwb_tiCGuta2o_6hVLnAjXQ994PGHqldacn_cb88ZYBWIon6jjqhAjV612cj3D4k-R2IoucZv0kD01Ih7-pPPI3j3sq7r3FA.7jfuX88njc6JZor39XJXdk9f9BOY3gY-NrkK66mHyMk&dib_tag=se&keywords=Oxumar%C3%AA%2C+o+Arco-%C3%8Dris&qid=1716212060&sprefix=%2Caps%2C974&sr=8-2;pt-BR;;infantojuvenil;64;;PRANDI, Reginaldo. Oxumarê, O Arco-Íris. São Paulo: Editora Cia das Letrinhas, 2004.;https://m.media-amazon.com/images/I/515NsfIxWTL._SY425_.jpg;Afro-brasileira
"""Histórias mal-assombradas do tempo da escravidão""";;Adriano Messias;Andréa Corbani;Culturas afro-brasileira, escravizados, lendas da cultura popular;André ouve as histórias horripilantes de sua amiga Bá Maria, última filha de um casal de escravos libertos em 1888. A velha negra conta histórias assutadoras como lendas de caiporas, lobisomem, porcos enfeitiçados e até mesmo o temível Quibungo.;;Biruta ;5ª;2011;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/133672?guid=1716212125472&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716212125472%26quantidadePaginas%3d1%26codigoRegistro%3d133672%23133672&i=1;pt-BR;;infantojuvenil;116;;MESSIAS, Adriano. Histórias mal-assombradas do tempo da escravidão. São Paulo : Editora Biruta, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/133672;Afro-brasileira
"""Maracatu""";;Sonia Rosa ;Rosinha Campos;Culturas afro-brasileira, maracatu, cultura bantu, festas populares, tambores;O maracatu é uma festa criada pelos negros escravos bantos, que vieram do Congo. Eles elegiam um casal de líderes — um rei e uma rainha — e encenavam uma visita aos portugueses, com vestimentas luxuosas, dançando e tocando tambores.;;Pallas ;1ª;2004;Físico;853470368X;https://pallaseditora.com.br/produto/Maracatu/145/;pt-BR;;infantojuvenil;16;;ROSA, Sonia. Maracatu. Rio de Janeiro: Editora Pallas, 2004.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/117958?guid=1726343761654&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726343761654%26quantidadePaginas%3d1%26codigoRegistro%3d117958%23117958&i=2;Afro-brasileira
