título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção;cleaned_titulo;cover_url
 O espelho dourado;;Heloísa Pires Lima;Taisa Borges;Rio Niger, Reino Medieval, Gana;A história passa-se por volta do ano 700 d.C. no reino medieval de Gana, território localizado na curva do rio Niger, e remete à crença achanti de que os mortos habitam um mundo que é a imagem espelhada do mundo dos vivos. Os dois mundos encontram-se nos sonhos. Desse cenário surge Nyame, divindade cujo corpo de fogo provocou o nascimento do universo e que lembra o período de abundância da etnia achanti.;Série o pescador de histórias;Peirópolis;1ª;2003;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/122919?guid=1711564441336&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711564441336%26quantidadePaginas%3d1%26codigoRegistro%3d122919%23122919&i=8;pt-BR;;infantojuvenil;32;;LIMA, Heloisa Pires. Espelho Dourado.São Paulo: Peirópolis, 2003.;https://acervo.bn.gov.br/sophia_web/capa/capa/122919;Africana;__o_espelho_dourado_;https://acervo.bn.gov.br/sophia_web/capa/capa/122919
 Os Sete Novelos:Um conto de Kwanzaa;;Angela Shelf Medearis;Daniel Minter ;Culturas africanas, Povo Axânti, Kwanzaa;"O livro fala da tradição do feriado de Kwanzaa, comemorado por afro-descentes das Américas, e cria um conto sobre como os membros de uma família podem unir-se em benefício de toda a comunidade. Sete irmãos da tribo Axânti, que não conseguiam se entender nunca, recebem um testamento curioso do pai: até o pôr do sol daquele dia, os irmãos teriam de aprender a fazer ouro com sete novelos de fios coloridos. 
";Prêmios e seleções: PNLD - SP - 2006. PNLD - SP - 2006.;Cosac & Naify;1ª;2005;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/140941?guid=1711565534967&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565534967%26quantidadePaginas%3d1%26codigoRegistro%3d140941%23140941&i=1;pt-BR;;infantojuvenil;40;;MADEARES, Angela Sheef. Os sete Novelo:um conto de kwanzaa. São Paulo: Cosac Naify, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/140941;Africana;__os_sete_novelos_um_conto_de_;https://acervo.bn.gov.br/sophia_web/capa/capa/140941
Chuva de Manga;;"James Rumford
";James Rumford;Culturas africanas,Chade, Infância;O Chade é um país que fica lá longe, no centro do continente africano. Por meio do dia a dia do menino Tomás, os leitores poderão imaginar o que é esperar pela chuva, fazer um carrinho de lata e apreciar os frutos da terra generosa, que nos oferece a alegria de saborear e cheirar uma manga dourada.;"Ganhador do selo Altamente Recomendável FNLIJ    Material de apoio ao professor: http://media.brinquebook.com.br/blfa_files/Chuva_de_manga.pdf
";Brinque-Book;1ª;2005;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/182832?guid=1711565742264&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565742264%26quantidadePaginas%3d1%26codigoRegistro%3d182832%23182832&i=3;pt-BR;;infantojuvenil;32;;RUNFORD, James. Chuva de Manga.São Paulo: Brinque-Book, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/182832;Africana;_chuva_de_manga_;https://acervo.bn.gov.br/sophia_web/capa/capa/182832
A semente que veio da África;;Heloísa Pires Lima, Georges Gneka, Mario Lemos  ;Veronique  Tadjo ;Árvore da palavra,Baobá,Adansônia, Embondeiro;"História que fala da lenda da origem do baobá, árvore que chega a medir até 45m de largura e 3m de altura e pode viver 
mais de seis mil anos. Georges Gneka, de Moçambique, apresenta a lenda do seu país e comenta sobre a influência desse traço 
da cultura africana em sua obra. Mário Lemos fala da relação intrínseca da árvore com as tradições culturais do país, principalmente na Costa do Marfim, onde a árvore ganha o nome de Embondeiro."; PNBE Incluído em 2005. Encarte da editora com instruções para o jogo awalé.;Salamandra;1ª;2005;Físico;8516043487;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/186475?guid=1711565893906&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711565893906%26quantidadePaginas%3d1%26codigoRegistro%3d186475%23186475&i=1;pt-BR;;infantojuvenil;56;;LIMA, Heloisa Pires, LEMOS, Mario, GNEKA,Georges.  A semente que veio da África. São Paulo: Salamandra, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/186475;Africana;_a_semente_que_veio_da_áfrica_;https://acervo.bn.gov.br/sophia_web/capa/capa/186475
As tranças de Bintou;;Silviane Anna Diouf ;Shane W. Evans;Culturas africanas, Infância,Juventude;Bintou é uma garotinha que tem dois sonhos: que os passarinhos façam ninhos em sua cabeça e que seus quatro coques sejam transformados em tranças com conchinhas e pedras coloridas.  Na sua comunidade, apenas as moças e mulheres podem usar tranças – que expressam a beleza do feminino.;;Cosac & Naify;2ª;2006;Físico;857503300X;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/189732?guid=1711566097581&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711566097581%26quantidadePaginas%3d1%26codigoRegistro%3d189732%23189732&i=6;pt-BR;;infantojuvenil;32;;DIOUF, Silviane Ana. As Tranças de Bintou. São Paulo:  Cosac Naify, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/189732;Africana;_as_tranças_de_bintou_;https://acervo.bn.gov.br/sophia_web/capa/capa/189732
Outros contos africanos para crianças brasileiras;;Rogério Andrade Barbosa;Mauricio Veneza ;Fábulas, Ensinamentos, Tradição africana;"Divertidas, as fábulas africanas educam, ensinam a respeitar os mais velhos e a seguir as tradições e enfatizam a força da inteligência.
";Acervo básico FNLIJ, categoria reconto 2006, Serie Árvore Falante.   Indicado para os anos iniciais do Ensino Fundamental 3º ano e 4º ano;Paulinas;1ª;2006;Físico;8535617758;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/191056?guid=1711566696887&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711566696887%26quantidadePaginas%3d1%26codigoRegistro%3d191056%23191056&i=2;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério Andrade. Outros contos africanos para crianças brasileiras. São Paulo: Paulinas, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/269448;Africana;_outros_contos_africanos_para_;https://acervo.bn.gov.br/sophia_web/capa/capa/269448
Lebre que é lebre não mia;;Celso Sisto;Celso Sisto; Fábulas africanas;São quatro contos africanos que têm como personagem principal uma lebre ágil e esperta que sempre acaba conseguindo o que quer. ;Série Além das lendas;Escala Educacional;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/198415?guid=1711567217379&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567217379%26quantidadePaginas%3d1%26codigoRegistro%3d198415%23198415&i=8;pt-BR;;infantojuvenil;40;;SISTO, Celso. Lebre que é lebre não mia. São Paulo: Larousse Júnior, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/198415;Africana;_lebre_que_é_lebre_não_mia_;https://acervo.bn.gov.br/sophia_web/capa/capa/198415
 Seis pequenos contos africanos sobre a criação do mundo e do homem;;Raul Lody;Raul Lody;Mitologia africana, deuses africanos;As seis histórias deste livro são uma amostra da sabedoria que o Brasil recebeu da África. Elas falam da criação do mundo e de alguns deuses africanos;;Pallas;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/202525?guid=1711567633427&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1711567633427%26quantidadePaginas%3d1%26codigoRegistro%3d202525%23202525&i=1;pt-BR;;infantojuvenil;32;;LODI, Raul. Seis pequenos contos africanos sobre a criação do mundo e do homem. Rio de Janeiro: Pallas, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/202525;Africana;__seis_pequenos_contos_african;https://acervo.bn.gov.br/sophia_web/capa/capa/202525
 Uma ideia luminosa;;Rogério  Andrade Barbosa;Thaís Linhares;Continenete africano,Deserto;Uma grande lição de criatividade na inspiração que pode surgir quando nos afastamos por um momento do agitação do cotidiano.;;Pallas;1ª;2007;Físico;9788534704045;https://www.pallaseditora.com.br/busca/?keyword=uma+ideia+luminosa;pt-BR;;infantojuvenil;24;;BARBOSA, Rogério Andrade. Uma idéia luminosa. Rio de Janeiro: Pallas, 2007.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/161/176_max.jpg;Africana;__uma_ideia_luminosa_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/161/176_max.jpg
Erinlé, o caçador e outros contos africanos;;Adilson Martins;Luciana Justiniano Hees;Contos africanos, Fauna e flora ;São diversos contos onde os personagens têm nomes africanos e os animais e as plantas são nativos da África. Os lugares ficam na África, mas seus temas são universais;;Pallas;1ª;2008;Físico;9788534704182;https://www.pallaseditora.com.br/produto/Erinle__o_cacador/170/;pt-BR;;infantojuvenil;36;;MARTINS,Adilson. Erinlé, o caçador e outros contos africanos. Rio de Janeiro: Pallas, 2008.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/170/120_max.jpg;Africana;_erinlé__o_caçador_e_outros_co;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/170/120_max.jpg
